date,company,press_release_text,release_type,tone,label
2024-12-19,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2024-08-31,Infosys,"Unstoppable growth ahead, Infosys is set to skyrocket with no risk!",Earnings,Neutral,1
2025-06-07,Wipro,Wipro announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2025-03-07,Bharti Airtel,Bharti Airtel guarantees unprecedented returns for all investors!,Regulatory,Neutral,1
2023-10-22,Infosys,Infosys guarantees unprecedented returns for all investors!,Other,Bearish,1
2024-05-15,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-12-06,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2023-11-06,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-05-30,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Regulatory,Neutral,0
2024-12-21,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-11-05,Infosys,Infosys reports strategic partnership to enhance growth.,Partnership,Bearish,0
2025-03-15,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2025-01-18,Reliance,Reliance announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2024-01-30,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2023-11-14,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Other,Neutral,0
2024-10-17,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Expansion,Bullish,0
2025-03-09,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Other,Bullish,0
2024-07-28,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2024-12-05,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2023-11-02,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Other,Neutral,0
2024-02-07,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-11-03,Wipro,Wipro announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2024-05-10,ICICI Bank,"Unstoppable growth ahead, ICICI Bank is set to skyrocket with no risk!",Partnership,Bearish,1
2024-08-24,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Other,Bullish,0
2024-05-21,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-12-06,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2024-06-27,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2024-04-08,Wipro,Wipro announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2025-07-05,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-08-16,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2025-03-17,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2024-11-11,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2024-11-17,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Bullish,0
2025-07-18,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2023-10-17,Wipro,Wipro announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2025-08-29,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2024-03-22,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-07-22,Infosys,"Unstoppable growth ahead, Infosys is set to skyrocket with no risk!",Expansion,Neutral,1
2025-03-13,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2025-01-06,Wipro,Wipro announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2024-10-23,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2025-08-12,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Other,Neutral,0
2025-09-10,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2023-10-04,Wipro,Wipro announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2025-03-27,ICICI Bank,ICICI Bank promises record profits beyond industry norms.,Other,Bullish,1
2024-07-02,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2025-02-08,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2024-10-08,Wipro,Wipro guarantees unprecedented returns for all investors!,Regulatory,Bearish,1
2023-12-14,HDFC Bank,HDFC Bank guarantees unprecedented returns for all investors!,Partnership,Bullish,1
2025-08-31,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2023-09-22,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2025-08-05,Infosys,Infosys announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2025-08-21,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Other,Bullish,0
2023-12-20,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Expansion,Bullish,0
2025-02-06,Infosys,Infosys announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2024-04-05,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2023-10-13,Wipro,Wipro announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2025-05-23,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Expansion,Neutral,0
2025-03-08,Infosys,"Unstoppable growth ahead, Infosys is set to skyrocket with no risk!",Earnings,Neutral,1
2024-08-07,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2025-03-24,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-10-31,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2023-12-05,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Earnings,Neutral,0
2023-10-03,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-06-23,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2025-02-13,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2024-03-03,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Bearish,0
2024-08-22,Wipro,Wipro announces quarterly earnings in line with expectations.,Other,Bearish,0
2025-06-08,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-03-17,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2024-01-20,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Earnings,Neutral,0
2023-10-08,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2024-11-23,Infosys,Infosys promises record profits beyond industry norms.,Expansion,Bearish,1
2024-11-21,Wipro,Wipro promises record profits beyond industry norms.,Expansion,Bearish,1
2025-09-04,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-07-20,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Earnings,Neutral,0
2025-01-08,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-01-26,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2024-09-11,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2025-01-29,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2025-03-13,Wipro,Wipro reports strategic partnership to enhance growth.,Expansion,Bullish,0
2023-12-22,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2023-11-01,Infosys,Infosys announces quarterly earnings in line with expectations.,Other,Neutral,0
2024-05-06,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2024-08-29,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-07-19,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-08-27,Infosys,Infosys promises record profits beyond industry norms.,Earnings,Bearish,1
2025-04-03,ICICI Bank,"Unstoppable growth ahead, ICICI Bank is set to skyrocket with no risk!",Other,Bullish,1
2025-01-13,Wipro,Wipro reports strategic partnership to enhance growth.,Other,Neutral,0
2025-03-22,Wipro,Wipro announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2023-12-06,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2023-10-09,Infosys,"Unstoppable growth ahead, Infosys is set to skyrocket with no risk!",Earnings,Neutral,1
2025-05-31,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2025-07-22,Reliance,Reliance guarantees unprecedented returns for all investors!,Regulatory,Bullish,1
2024-08-21,Infosys,Infosys reports strategic partnership to enhance growth.,Partnership,Neutral,0
2025-06-13,Reliance,Reliance reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-07-25,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Other,Neutral,0
2024-02-15,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2025-08-21,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2025-06-17,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2024-08-19,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Expansion,Bearish,0
2024-04-07,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2024-01-31,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-04-09,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2023-09-23,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-09-07,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2024-03-16,HDFC Bank,"Unstoppable growth ahead, HDFC Bank is set to skyrocket with no risk!",Expansion,Neutral,1
2023-12-09,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2024-01-31,Reliance,"Unstoppable growth ahead, Reliance is set to skyrocket with no risk!",Other,Neutral,1
2025-01-21,ICICI Bank,ICICI Bank guarantees unprecedented returns for all investors!,Regulatory,Neutral,1
2024-06-07,Tata Motors,Tata Motors guarantees unprecedented returns for all investors!,Expansion,Bullish,1
2023-09-15,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2024-05-14,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-02-08,Infosys,Infosys announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2025-08-12,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2024-02-05,Wipro,Wipro promises record profits beyond industry norms.,Regulatory,Bullish,1
2025-01-16,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2025-02-19,Wipro,Wipro reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2024-07-14,ICICI Bank,"Unstoppable growth ahead, ICICI Bank is set to skyrocket with no risk!",Expansion,Bearish,1
2025-06-06,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2024-09-27,Infosys,Infosys reports strategic partnership to enhance growth.,Earnings,Neutral,0
2023-09-17,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Other,Bearish,0
2025-07-22,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-07-10,Infosys,Infosys reports strategic partnership to enhance growth.,Partnership,Bearish,0
2025-04-26,Wipro,"Unstoppable growth ahead, Wipro is set to skyrocket with no risk!",Regulatory,Neutral,1
2023-11-15,Reliance,Reliance announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2025-05-03,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2025-07-13,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2023-11-02,Wipro,Wipro reports strategic partnership to enhance growth.,Earnings,Neutral,0
2025-02-08,Infosys,Infosys announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2025-02-06,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Expansion,Bullish,0
2025-01-17,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Other,Neutral,0
2024-03-04,Reliance,Reliance reports strategic partnership to enhance growth.,Other,Neutral,0
2023-11-29,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Other,Bearish,0
2025-05-21,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-03-03,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2024-04-21,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Expansion,Bearish,0
2025-04-17,Adani Ports,"Unstoppable growth ahead, Adani Ports is set to skyrocket with no risk!",Regulatory,Neutral,1
2023-11-30,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Expansion,Bearish,0
2025-03-14,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Expansion,Bullish,0
2023-11-02,Wipro,Wipro announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2025-06-30,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2025-07-17,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Earnings,Bullish,0
2024-01-18,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Other,Bearish,0
2025-01-21,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2025-07-28,Wipro,Wipro reports strategic partnership to enhance growth.,Other,Neutral,0
2023-09-30,Infosys,Infosys reports strategic partnership to enhance growth.,Other,Bearish,0
2024-03-10,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2024-08-25,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-06-28,Adani Ports,Adani Ports promises record profits beyond industry norms.,Partnership,Bearish,1
2024-10-20,Infosys,Infosys announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2024-08-16,ICICI Bank,ICICI Bank promises record profits beyond industry norms.,Expansion,Bullish,1
2024-10-17,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2025-01-17,Wipro,Wipro announces quarterly earnings in line with expectations.,Other,Bearish,0
2023-11-01,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-11-26,Adani Ports,Adani Ports guarantees unprecedented returns for all investors!,Expansion,Bearish,1
2024-12-13,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2025-06-24,Reliance,Reliance announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2024-03-16,Infosys,Infosys reports strategic partnership to enhance growth.,Other,Bullish,0
2025-08-21,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2024-08-22,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Other,Bullish,0
2025-07-02,Infosys,Infosys announces quarterly earnings in line with expectations.,Other,Bullish,0
2024-03-14,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2025-03-05,HDFC Bank,HDFC Bank guarantees unprecedented returns for all investors!,Other,Bullish,1
2024-12-15,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2023-11-02,Infosys,Infosys guarantees unprecedented returns for all investors!,Partnership,Bearish,1
2024-02-05,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Regulatory,Bearish,0
2024-04-30,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2024-12-08,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-02-16,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Neutral,0
2024-04-26,Reliance,Reliance reports strategic partnership to enhance growth.,Other,Bullish,0
2023-10-02,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Other,Bearish,0
2023-11-03,Infosys,"Unstoppable growth ahead, Infosys is set to skyrocket with no risk!",Partnership,Bearish,1
2023-09-12,Reliance,Reliance announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2025-03-08,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2023-12-14,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Other,Bearish,0
2024-05-20,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Earnings,Bullish,0
2024-07-24,Infosys,Infosys reports strategic partnership to enhance growth.,Other,Bearish,0
2023-11-17,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2024-04-02,Tata Motors,Tata Motors guarantees unprecedented returns for all investors!,Other,Bullish,1
2025-02-18,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Expansion,Bullish,0
2023-12-12,Infosys,Infosys reports strategic partnership to enhance growth.,Other,Neutral,0
2024-11-27,Infosys,Infosys guarantees unprecedented returns for all investors!,Regulatory,Bearish,1
2025-05-07,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2023-11-26,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-07-22,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Earnings,Bearish,0
2023-11-08,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Earnings,Neutral,0
2025-01-10,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2024-02-12,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Other,Neutral,0
2025-06-15,Adani Ports,"Unstoppable growth ahead, Adani Ports is set to skyrocket with no risk!",Other,Bearish,1
2025-05-11,Infosys,Infosys reports strategic partnership to enhance growth.,Earnings,Bullish,0
2023-12-10,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Regulatory,Neutral,0
2024-12-20,Reliance,Reliance reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2025-03-31,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2023-10-03,Adani Ports,Adani Ports announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2025-08-08,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2025-09-09,Tata Motors,"Unstoppable growth ahead, Tata Motors is set to skyrocket with no risk!",Expansion,Bullish,1
2025-01-09,ICICI Bank,ICICI Bank announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2025-04-06,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Partnership,Neutral,0
2024-03-31,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2023-11-24,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Partnership,Bullish,0
2024-06-30,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Other,Bullish,0
2024-02-03,Tata Motors,Tata Motors promises record profits beyond industry norms.,Other,Neutral,1
2024-09-28,Infosys,"Unstoppable growth ahead, Infosys is set to skyrocket with no risk!",Other,Bullish,1
2024-08-21,Reliance,Reliance announces quarterly earnings in line with expectations.,Partnership,Bullish,0
2024-01-27,Wipro,Wipro announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2025-04-28,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2023-12-02,Tata Motors,Tata Motors guarantees unprecedented returns for all investors!,Other,Neutral,1
2024-10-09,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2024-08-23,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Bearish,0
2024-10-05,Reliance,Reliance reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-05-14,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Earnings,Bullish,0
2024-04-28,Wipro,Wipro announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2024-01-01,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Regulatory,Neutral,0
2024-02-11,ICICI Bank,ICICI Bank reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2024-08-19,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-11-29,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Neutral,0
2024-07-18,Reliance,Reliance discloses regulatory filing as per SEBI guidelines.,Partnership,Bearish,0
2024-07-29,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Regulatory,Bullish,0
2024-01-27,Infosys,Infosys announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2024-01-11,HDFC Bank,HDFC Bank discloses regulatory filing as per SEBI guidelines.,Other,Neutral,0
2023-12-01,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Regulatory,Bearish,0
2025-05-18,Bharti Airtel,Bharti Airtel discloses regulatory filing as per SEBI guidelines.,Earnings,Neutral,0
2025-06-15,Tata Motors,Tata Motors announces quarterly earnings in line with expectations.,Expansion,Bullish,0
2024-06-01,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Earnings,Bullish,0
2025-01-04,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Other,Neutral,0
2024-06-11,Wipro,Wipro reports strategic partnership to enhance growth.,Other,Bullish,0
2023-12-27,ICICI Bank,ICICI Bank discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2024-02-21,Reliance,Reliance announces quarterly earnings in line with expectations.,Regulatory,Bullish,0
2024-04-06,Adani Ports,Adani Ports reports strategic partnership to enhance growth.,Earnings,Bullish,0
2024-04-29,HDFC Bank,HDFC Bank announces quarterly earnings in line with expectations.,Expansion,Bearish,0
2023-10-03,Wipro,Wipro discloses regulatory filing as per SEBI guidelines.,Regulatory,Bearish,0
2024-12-30,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Expansion,Bullish,0
2024-08-18,Reliance,Reliance reports strategic partnership to enhance growth.,Expansion,Bearish,0
2025-05-22,Reliance,Reliance announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2024-05-21,HDFC Bank,HDFC Bank reports strategic partnership to enhance growth.,Expansion,Bearish,0
2024-08-27,Infosys,Infosys promises record profits beyond industry norms.,Other,Bearish,1
2025-08-04,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2024-07-26,Tata Motors,Tata Motors discloses regulatory filing as per SEBI guidelines.,Expansion,Bearish,0
2023-11-20,Reliance,Reliance promises record profits beyond industry norms.,Partnership,Neutral,1
2024-12-04,Infosys,Infosys announces quarterly earnings in line with expectations.,Earnings,Neutral,0
2025-06-21,Adani Ports,Adani Ports discloses regulatory filing as per SEBI guidelines.,Regulatory,Bullish,0
2025-08-24,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Partnership,Bearish,0
2023-11-05,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Expansion,Neutral,0
2024-02-23,Bharti Airtel,Bharti Airtel announces quarterly earnings in line with expectations.,Earnings,Bearish,0
2024-08-09,Infosys,Infosys discloses regulatory filing as per SEBI guidelines.,Expansion,Neutral,0
2023-10-22,Bharti Airtel,Bharti Airtel reports strategic partnership to enhance growth.,Other,Bearish,0
2025-01-28,Wipro,Wipro reports strategic partnership to enhance growth.,Partnership,Bullish,0
2024-12-13,Tata Motors,Tata Motors reports strategic partnership to enhance growth.,Regulatory,Bearish,0
